Ano;"UF do Produto";"Código CGCE Nível 1";"Descrição CGCE Nível 1";"Valor FOB (US$)"
2020;"Minas Gerais";2;"BENS INTERMEDIÁRIOS (BI)";24301528405
2020;"São Paulo";2;"BENS INTERMEDIÁRIOS (BI)";23254991412
2020;Pará;2;"BENS INTERMEDIÁRIOS (BI)";19941122945
2020;"Rio de Janeiro";4;"COMBUSTÍVEIS E LUBRIFICANTES";17573487994
2020;"Mato Grosso";2;"BENS INTERMEDIÁRIOS (BI)";16263964857
2020;Paraná;2;"BENS INTERMEDIÁRIOS (BI)";11461077642
2020;"Rio Grande do Sul";2;"BENS INTERMEDIÁRIOS (BI)";10054060347
2020;"São Paulo";3;"BENS DE CONSUMO (BC)";8562513958
2020;"São Paulo";1;"BENS DE CAPITAL (BK)";6321855955
2020;Goiás;2;"BENS INTERMEDIÁRIOS (BI)";6267703370
2020;Bahia;2;"BENS INTERMEDIÁRIOS (BI)";6212126483
2020;"Santa Catarina";2;"BENS INTERMEDIÁRIOS (BI)";5107479953
2020;"Mato Grosso do Sul";2;"BENS INTERMEDIÁRIOS (BI)";4716631442
2020;"São Paulo";4;"COMBUSTÍVEIS E LUBRIFICANTES";4385916269
2020;"Rio de Janeiro";2;"BENS INTERMEDIÁRIOS (BI)";4298925383
2020;"Espírito Santo";2;"BENS INTERMEDIÁRIOS (BI)";4081390273
2020;Paraná;3;"BENS DE CONSUMO (BC)";3889328997
2020;Maranhão;2;"BENS INTERMEDIÁRIOS (BI)";3329094609
2020;"Rio Grande do Sul";3;"BENS DE CONSUMO (BC)";3132145084
2020;"Santa Catarina";3;"BENS DE CONSUMO (BC)";2304394540
2020;"Mato Grosso";3;"BENS DE CONSUMO (BC)";1964580761
2020;Goiás;3;"BENS DE CONSUMO (BC)";1770027167
2020;"Minas Gerais";3;"BENS DE CONSUMO (BC)";1609825820
2020;Ceará;2;"BENS INTERMEDIÁRIOS (BI)";1296873456
2020;Bahia;4;"COMBUSTÍVEIS E LUBRIFICANTES";1153029638
2020;"Mato Grosso do Sul";3;"BENS DE CONSUMO (BC)";1092406918
2020;Tocantins;2;"BENS INTERMEDIÁRIOS (BI)";1028826001
2020;"Rio Grande do Sul";1;"BENS DE CAPITAL (BK)";745504763
2020;Rondônia;3;"BENS DE CONSUMO (BC)";718467896
2020;"Santa Catarina";1;"BENS DE CAPITAL (BK)";712449723
2020;Paraná;1;"BENS DE CAPITAL (BK)";709681803
2020;Pará;3;"BENS DE CONSUMO (BC)";634410852
2020;Rondônia;2;"BENS INTERMEDIÁRIOS (BI)";614610565
2020;"Espírito Santo";4;"COMBUSTÍVEIS E LUBRIFICANTES";597507390
2020;Piauí;2;"BENS INTERMEDIÁRIOS (BI)";557548666
2020;Pernambuco;2;"BENS INTERMEDIÁRIOS (BI)";520596893
2020;"Rio de Janeiro";3;"BENS DE CONSUMO (BC)";514064168
2020;Ceará;3;"BENS DE CONSUMO (BC)";502430294
